"","ISO","lang.family.x","lang.genus.x","native.country.x","native.country.area.x","language.x","lang.family.y","lang.genus.y","native.country.y","native.country.area.y","language.y","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log"
"1","cat","Indo-European","Romance","Spain","Europe","catalan","Indo-European","Romance","Spain","Europe","catalan",41.75,2,1366457.25,1092920.75,6.5,15.800025,49.822625,17.028375,5.206675,9.75,6.82395
"2","eng","Indo-European","Germanic","United Kingdom","Europe","english","Indo-European","Germanic","United Kingdom","Europe","english",52,0,60193309.2941176,274119338.764706,26.7647058823529,10.400145,49.67513,7.93249,5.166097,8.210026,8.49045
"3","fra","Indo-European","Romance","Switzerland","Europe","french","Indo-European","Romance","Switzerland","Europe","french",48,2,10563426.375,5717447.125,15.875,10.4703754716981,52.3178867924528,6.95769811320755,5.85321886792453,8.90107735849057,7.81197
"4","por","Indo-European","Romance","Portugal","Europe","portuguese","Indo-European","Romance","Portugal","Europe","portuguese",39,-8,9139129,7738523,11,15.7578090909091,54.5903939393939,32.4133939393939,5.32146363636364,7.97979696969697,8.24909
"5","spa","Indo-European","Romance","Spain","Europe","spanish","Indo-European","Romance","Spain","Europe","spanish",40,-4,11665306.4444444,10578811.8888889,14.5555555555556,14.7713026315789,35.2508684210526,15.1995263157895,6.88576842105263,6.55263157894737,8.50826
"6","arz","Afro-Asiatic","Semitic","Egypt","Africa","arabicegyptian","Afro-Asiatic","Semitic","Egypt","Africa","arabicegyptian",30,31,3306230,2379857,4,21.0072222222222,2.49588888888889,2.85911111111111,5.43184444444444,0.0893666666666667,7.66578
"7","arb","Afro-Asiatic","Semitic","Yemen","Asia","arabic","Afro-Asiatic","Semitic","Yemen","Asia","arabic",25,42,NA,NA,NA,NA,NA,NA,NA,NA,8.31387
"8","afb","Afro-Asiatic","Semitic","Saudi Arabia","Asia","arabicgulf","Afro-Asiatic","Semitic","Saudi Arabia","Asia","arabicgulf",26,49,5959005.55555556,3503967.44444444,10.8888888888889,25.651525,10.26825,12.547375,6.9050125,0.805475,6.36896
"9","ben","Indo-European","Indic","India","Asia","bengali","Indo-European","Indic","India","Asia","bengali",24,90,5319442,65467,36.5,25.6542,169.112444444444,155.335444444444,3.87976666666667,7.38046666666667,8.23317
"10","dan","Indo-European","Germanic","Denmark","Europe","danish","Indo-European","Germanic","Denmark","Europe","danish",56,10,2253907,5242716,7,7.6049,58.026875,16.50375,6.3084375,6.090275,6.72426
"11","deu","Indo-European","Germanic","Switzerland","Europe","german","Indo-European","Germanic","Switzerland","Europe","german",52,10,4911687.88888889,1506806.88888889,13.6666666666667,8.0410325,68.884125,14.081325,6.4915375,6.7433325,7.97952
"12","ell","Indo-European","Greek","Greece","Europe","greek","Indo-European","Greek","Greece","Europe","greek",39,22,1987067.57142857,6522136.71428571,5.42857142857143,17.3359121212121,60.3326666666667,33.2696363636364,7.07479393939394,7.67866060606061,7.08844
"13","hin","Indo-European","Indic","India","Asia","hindi","Indo-European","Indic","India","Asia","hindi",25,77,16985416.5,7048274,106.5,25.61550625,95.25125,139.4201875,5.80816875,4.1553875,8.25711
"14","ita","Indo-European","Romance","Switzerland","Europe","italian","Indo-European","Romance","Switzerland","Europe","italian",43,12,2981010.5,1311341.75,11.75,13.4033642857143,75.5140714285714,20.4518928571429,6.68983571428571,9.90546071428571,7.7888
"15","jpn","Japanese","Japanese","Japan","Asia","japanese","Japanese","Japanese","Japan","Asia","japanese",37,140,36786086,90111963,18,10.669896,122.472,60.78324,8.86224,7.709504,8.0879
"16","zsm","Austronesian","Sundic","Malaysia","Asia","malay","Austronesian","Sundic","Malaysia","Asia","malay",3,102,4552502.75,13895686,67.75,26.84225,192.7595,69.891125,0.490175,11.796225,7.24562
"17","mal","Dravidian","Southern Dravidian","India","Asia","malayalam","Dravidian","Southern Dravidian","India","Asia","malayalam",10,76.5,3299265,3500189,34,26.9530888888889,253.263222222222,215.625888888889,1.02366666666667,9.36296666666667,7.55336
"18","pan","Indo-European","Indic","Pakistan","Asia","panjabi","Indo-European","Indic","Pakistan","Asia","panjabi",31,74,4911310,1430979,16,22.7048,86.167,103.074,7.4523,5.1429,7.44726
"19","pol","Indo-European","Slavic","Poland","Europe","polish","Indo-European","Slavic","Poland","Europe","polish",52,20,7785362.5,1340968.5,7.25,7.6177,54,21.769,8.1055,6.881,7.63051
"20","pes","Indo-European","Iranian","Iran","Asia","persian","Indo-European","Iranian","Iran","Asia","persian",32,54,68593415,18531563,59,18.8035153846154,4.76596153846154,4.6785,9.2819,0.108626923076923,7.38589
"21",NA,"Indo-European","Indic","Sri Lanka","Asia",NA,"Indo-European","Indic","Sri Lanka","Asia",NA,15.142523364486,28.510041536864,1602461.99550898,810982.229041916,7.98952095808383,19.8209520446097,113.343076208178,68.9141747211896,3.75038420074349,7.44357955390335,4.58585082035306
"22","som","Afro-Asiatic","Eastern Cushitic","Somalia","Africa","somali","Afro-Asiatic","Eastern Cushitic","Somalia","Africa","somali",3,45,22171958,3462603.5,12.5,27.0416166666667,36.2158333333333,34.66075,1.63999166666667,3.33974166666667,7.10221
"23","swa","Niger-Congo","Bantoid","Tanzania","Africa","swahili","Niger-Congo","Bantoid","Tanzania","Africa","swahili",-6.5,39,207951,829201,5.5,26.3447444444444,101.259888888889,78.2663333333333,1.44818888888889,8.10233333333333,5.88798
"24","swe","Indo-European","Germanic","Sweden","Europe","swedish","Indo-European","Germanic","Sweden","Europe","swedish",60,15,22889222,8626187,14.5,4.4875,51.211,17.219,8.3133,5.2722,6.94398
"25","tel","Dravidian","South-Central Dravidian","India","Asia","telugu","Dravidian","South-Central Dravidian","India","Asia","telugu",16,79,24001535,7197160,40,27.5381,81.056,82.884,3.191,5.4667,7.84316
"26","tha","Tai-Kadai","Kam-Tai","Thailand","Asia","thai","Tai-Kadai","Kam-Tai","Thailand","Asia","thai",16,101,15294278,9003688,31,27.3432,104.94975,88.85225,2.084625,7.073875,7.306
"27","tur","Altaic","Turkic","Turkey","Eurasia","turkish","Altaic","Turkic","Turkey","Eurasia","turkish",39,35,12279958.6,4284342.6,13.4,10.4969727272727,34.7320909090909,17.7285151515152,7.46548484848485,4.2002303030303,7.70437
"28","urd","Indo-European","Indic","Pakistan","Asia","urdu","Indo-European","Indic","Pakistan","Asia","urdu",25,67,642062.5,1204216,12.5,26.058019047619,19.4038095238095,28.873380952381,4.25017142857143,1.6047619047619,7.78178
"29","azb","Altaic","Turkic","Iraq","Asia","azerbaijani","Altaic","Turkic","Iraq","Asia","azerbaijani",40.5,48.5,2740630.85714286,1361841.42857143,12,13.3955833333333,38.7445,28.0053333333333,8.8571,5.2796,7.38675
"30","brh","Dravidian","Northern Dravidian","Pakistan","Asia","brahui","Dravidian","Northern Dravidian","Pakistan","Asia","brahui",28.5,67,4586047,851496.5,8,21.82815,9.6355,11.453,8.63695,1.375,6.34439
"31","rmt","Indo-European","Indic","Jordan","Asia","domari","Indo-European","Indic","Jordan","Asia","domari",32,35,117,4197,6,20.0686,41.412,48.517,5.5623,4.7059,6.27326
"32","prs","Indo-European","Iranian","Afghanistan","Asia","dari","Indo-European","Iranian","Afghanistan","Asia","dari",35,66,14277200,5697927,85,7.17473333333333,27.0616666666667,24.3076666666667,9.7398,1.6611,6.88081
"33","gju","Indo-European","Indic","India","Asia","gojri","Indo-European","Indic","India","Asia","gojri",32.75,76.25,73158.6666666667,319610,8.66666666666667,17.8133,86.383,57.085,7.3086,8.4,5.99665
"34","sgl","Indo-European","Iranian","Tajikistan","Asia","ishkashmi","Indo-European","Iranian","Tajikistan","Asia","ishkashmi",37,72,67742,131111.5,7.5,NA,NA,NA,NA,NA,3.17609
"35","kaz","Altaic","Turkic","Kazakhstan","Asia","kazakh","Altaic","Turkic","Kazakhstan","Asia","kazakh",50,70,30422412.3333333,7813576,17.8333333333333,6.046175,14.5375,8.6215,13.213,1.0697,6.91269
"36","kir","Altaic","Turkic","Kyrgyzstan","Asia","kirghiz","Altaic","Turkic","Kyrgyzstan","Asia","kirghiz",42,75,6029158.25,2445639.5,10.75,11.40065,12.4645,7.527,11.27955,0.875,6.49648
