lang,slope,rfree,ofree,rfixed,rheadfixed,oheadfixed,rheadconsistent,oheadconsistent,rfheadconsistent,,,,,,,,
arabic,0.04443,0.04651,-0.0184,0.03858,0.0225,-0.01266,0.02927,-0.01023,0.02611,,,,,,,,
bg,0.06661,0.06324,-0.02347,0.05203,0.02186,-0.01897,0.04223,-0.01111,0.04097,,,,,,,,
bn,0.14176,0.0419,-0.05919,0.0201,0.02449,-0.04511,0.04204,-0.02979,0.04444,,,,,,,,
catalan,0.04824,0.05567,-0.01733,0.04453,0.01785,-0.01402,0.047633,-0.007527,0.04526,,,,,,,,
cs,0.06948,0.05538,-0.02677,0.0445,0.01539,-0.021,0.04396,-0.01178,0.0417,,,,,,,,
da,0.05997,0.06242,-0.02219,0.05149,0.0268,-0.0173,0.04679,-0.01047,0.04401,,,,,,,,
de,0.08182,0.03399,-0.0425,0.02138,0.01869,-0.03701,0.02188,-0.03051,0.02079,,,,,,,,
el,0.051,0.05676,-0.01912,0.04467,0.01804,-0.01566,0.04334,-0.01005,0.04219,,,,,,,,
en,0.06072,0.05794,-0.02203,0.04434,0.01666,-0.01593,0.053818,-0.007652,0.05285,,,,,,,,
es,0.04818,0.05787,-0.01659,0.04703,0.01931,-0.01376,0.045136,-0.007184,0.04267,,,,,,,,
et,0.10935,0.05537,-0.0391,0.03699,0.02472,-0.03105,0.05797,-0.0108,0.05487,,,,,,,,
eu,0.1004,0.04924,-0.03682,0.03079,0.02261,-0.0301,0.060041,-0.008364,0.05946,,,,,,,,
fa,0.07434,0.03128,-0.03954,0.02243,0.01216,-0.03497,0.02098,-0.02731,0.01989,,,,,,,,
fi,0.06535,0.04573,-0.02627,0.03635,0.01424,-0.01965,0.04386,-0.01111,0.04187,,,,,,,,
fr,0.04713,0.05947,-0.01492,0.04962,0.01725,-0.01122,0.05105,-0.0037,0.0489,,,,,,,,
ga,0.04701,0.0462,-0.01682,0.04353,0.0219,-0.01066,0.038189,-0.005435,0.03705,,,,,,,,
grc,0.10081,0.03707,-0.0489,0.04353,0.02468,-0.03924,0.04378,-0.02639,0.04089,,,,,,,,
he,0.04698,0.04849,-0.01644,0.04353,0.01596,-0.01366,0.023071,-0.008913,0.01914,,,,,,,,
hi,0.06744,0.04763,-0.02923,0.03779,0.01906,-0.02434,0.03794,-0.01575,0.03937,,,,,,,,
hr,0.05904,0.05444,-0.02137,0.04637,0.01041,-0.01872,0.0352,-0.01064,0.03354,,,,,,,,
hu,0.08115,0.0319,-0.03787,0.02354,0.02217,-0.03147,0.03554,-0.02099,0.03568,,,,,,,,
id,0.05422,0.04835,-0.01904,0.03971,0.01742,-0.01146,0.03874,-0.00548,0.03625,,,,,,,,
it,0.04608,0.06044,-0.01521,0.05091,0.01625,-0.01234,0.04784,-0.004716,0.04548,,,,,,,,
ja,0.08803,0.0534,-0.03473,0.04765,0.009763,-0.025172,0.01904,-0.0216,0.026416,,,,,,,,
ko,0.09199,0.03469,-0.04149,0.02464,0.01309,-0.02711,0.0142,-0.02665,0.01557,,,,,,,,
la,0.09852,0.02609,-0.05032,0.01544,0.02057,-0.04067,0.03043,-0.03086,0.02816,,,,,,,,
nl,0.08035,0.05342,-0.03704,0.04004,0.02022,-0.03228,-0.006652,-0.02571,0.02656,,,,,,,,
pt,0.04618,0.0616,-0.0153,0.05207,0.01651,-0.0127,0.040899,-0.006652,0.03885,,,,,,,,
ro,0.07054,0.0629,-0.02067,0.05376,0.02056,-0.01461,0.052747,-0.001671,0.04779,,,,,,,,
ru,0.06908,0.05225,-0.0278,0.04179,0.01615,-0.02289,0.03953,-0.0136,0.03713,,,,,,,,
sk,0.0671,0.05403,-0.02701,0.04262,0.03036,-0.02134,0.04459,-0.0139,0.04162,,,,,,,,
sl,0.07426,0.05522,-0.03259,0.04292,0.04079,-0.02494,0.05237,-0.01657,0.04986,,,,,,,,
sv,0.06684,0.04985,-0.02623,0.03841,0.0183,-0.01779,0.050418,-0.008783,0.04911,,,,,,,,
ta,0.07931,0.04724,-0.03287,0.03744,0.018314,-0.02266,0.03756,-0.01701,0.04048,,,,,,,,
te,0.181649,0.024551,-0.066089,0.0023,0.018314,-0.042048,0.035958,-0.021704,0.035277,,,,,,,,
tr,0.11938,0.02398,-0.05895,0.01449,0.01347,-0.03495,0.01785,-0.03495,0.01472,,,,,,,,
zh,0.09313,0.03293,-0.0402,0.02032,0.01229,-0.03501,0.03221,-0.02003,0.03297,,,,,,,,
