ID,Name,Feature Class,Description,,,include
1,MADCON,Phonology,Consonant Inventories,,,0
2,MADVOW,Phonology,Vowel Quality Inventories,,,0
3,MADCVR,Phonology,Consonant-Vowel Ratio,,,0
4,MADVOI,Phonology,Voicing in Plosives and Fricatives,,,0
5,MADGAP,Phonology,Voicing in Gaps and Plosive Systems,,,0
6,MADUVU,Phonology,Uvular Consonants,,,0
7,MADGLO,Phonology,Glottalized Consonants,,,0
8,MADLAT,Phonology,Lateral Consonants,,,0
9,ANDANG,Phonology,The Velar Nasal,,,0
10,HAJNAS,Phonology,Vowel Nasalization,,,0
11,MADFRV,Phonology,Front Rounded Vowels,,,0
12,MADSYL,Phonology,Syllable Structure,,,0
13,MADTON,Phonology,Tone,,,0
14,GOEFIX,Phonology,Fixed Stress Locations,,,0
15,GOEVAR,Phonology,Weight-Sensitive Stress,,,0
16,GOEFAC,Phonology,Weight Factors in Weight-Sensitive Stress,,,0
17,GOERHY,Phonology,Rhythm Types,,,0
18,MADABS,Phonology,Absence of Common Consonants,,,0
19,MADPRS,Phonology,Presence of Uncommon Consonants,,,0
21,BICEXP,Morphology,Exponence of Selected Inflectional Forms,,,0
23,BICHDC,Morphology,Locus Marking in the Clause,,,0
24,BICHDN,Morphology,Locus of Marking in Possessive Noun Phrases,,,0
25,BICHDM,Morphology,Locus of Marking: Whole-Language Typology,,,0
28,BAECSY,Morphology,Case Syncretism,,,0
29,BAEPSY,Morphology,Syncretism in Verbal Person/Number Marking,,,0
31,CORSEX,Nominal Categories,Sex-based and Non-sex-based Gender Systems,,,0
32,CORASS,Nominal Categories,Systems of Gender Assignment,,,0
33,DRYNPL,Nominal Categories,Coding of Nominal Plurality,,,0
35,DANPLU,Nominal Categories,Plurality in Independent Personal Pronouns,,,0
36,MORASP,Nominal Categories,The Associative Plural,,,0
39,CYSIND,Nominal Categories,Inclusive / Exclusive Distinction in Independent Pronouns,,,0
40,CYSVRB,Nominal Categories,Inclusive / Exclusive Distinction in Verbal Inflection,,,0
43,BHADEM,Nominal Categories,Third Person Pronouns and Demonstratives,,,0
45,HELPOL,Nominal Categories,Politeness Distinctions in Pronouns,,,0
47,KONDIF,Nominal Categories,Intensifiers and Reflexive Pronouns,,,0
48,BAKADP,Nominal Categories,Person Marking on Adpositions,,,0
50,IGGCMA,Nominal Categories,Asymmetrical Case-Marking,,,0
52,STOCIS,Nominal Categories,Comitatives and Instrumentals,,,0
53,STOORD,Nominal Categories,Ordinal Numerals,,,0
54,GILDIS,Nominal Categories,Distributive Numerals,,,0
56,GILCUQ,Nominal Categories,Conjunctions and Universal Quantifiers,,,0
